DATE,DEXINUS
2018-02-23,64.7100
2018-02-26,64.78
2018-02-27,64.84
2018-02-28,65.2
2018-03-01,65.2
2018-03-02,65.24
2018-03-05,65.06
2018-03-06,64.9
2018-03-07,64.86
2018-03-08,65.15
2018-03-09,65.12
2018-03-12,65.0
2018-03-13,64.85
2018-03-14,64.84
2018-03-15,64.94
2018-03-16,64.97
2018-03-19,65.21
2018-03-20,65.19
2018-03-21,65.2
2018-03-22,65.1
2018-03-23,64.98
2018-03-26,64.83
2018-03-27,64.98
2018-03-28,65.15
2018-03-29,65.12
2018-03-30,65.11
2018-04-02,65.11
2018-04-03,65.0
2018-04-04,65.08
2018-04-05,64.92
2018-04-06,64.95
2018-04-09,64.95
2018-04-10,64.95
2018-04-11,65.26
2018-04-12,65.28
2018-04-13,65.27
2018-04-16,65.46
2018-04-17,65.66
2018-04-18,65.62
2018-04-19,65.79
2018-04-20,66.15
2018-04-23,66.42
2018-04-24,66.36
2018-04-25,66.92
2018-04-26,66.8
2018-04-27,66.68
2018-04-30,66.5
2018-05-01,66.52
2018-05-02,66.71
2018-05-03,66.68
2018-05-04,66.83
2018-05-07,67.13
2018-05-08,67.12
2018-05-09,67.25
2018-05-10,67.24
2018-05-11,67.28
2018-05-14,67.55
2018-05-15,68.07
2018-05-16,67.77
2018-05-17,67.76
2018-05-18,68.04
2018-05-21,68.11
2018-05-22,68.04
2018-05-23,68.38
2018-05-24,68.32
2018-05-25,67.78
2018-05-28,.
2018-05-29,67.78
2018-05-30,67.46
2018-05-31,67.4
2018-06-01,66.99
2018-06-04,67.05
2018-06-05,67.12
2018-06-06,66.87
2018-06-07,67.2
2018-06-08,67.56
2018-06-11,67.46
2018-06-12,67.48
2018-06-13,67.6
2018-06-14,67.62
2018-06-15,68.06
2018-06-18,68.1
2018-06-19,68.3
2018-06-20,68.06
2018-06-21,67.94
2018-06-22,67.88
2018-06-25,68.09
2018-06-26,68.31
2018-06-27,68.63
2018-06-28,68.81
2018-06-29,68.46
2018-07-02,68.78
2018-07-03,68.58
2018-07-04,.
2018-07-05,68.89
2018-07-06,68.8
2018-07-09,68.66
2018-07-10,68.76
2018-07-11,68.7
2018-07-12,68.52
2018-07-13,68.44
2018-07-16,68.6
2018-07-17,68.42
2018-07-18,68.62
2018-07-19,69.01
2018-07-20,68.74
2018-07-23,68.84
2018-07-24,68.94
2018-07-25,68.72
2018-07-26,68.66
